;legend;color;marker;linestyle
Secondary Energy|Gases|Other;Gases|Other;#b23333;;
SE|Gases|Other;Gases|Other;#b23333;;
Secondary Energy|Heat|Biomass;Heat|Biomass;#66cc19;;
SE|Heat|Biomass;Heat|Biomass;#66cc19;;
Secondary Energy|Heat|Coal;Heat|Coal;#663333;;
SE|Heat|Coal;Heat|Coal;#663333;;
Secondary Energy|Heat|Gas;Heat|Gas;#cc0000;;
SE|Heat|Gas;Heat|Gas;#cc0000;;
Secondary Energy|Heat|Geothermal;Heat|Geothermal;#ff7f00;;
SE|Heat|Geothermal;Heat|Geothermal;#ff7f00;;
Secondary Energy|Heat|Oil;Heat|Oil;#6666ff;;
SE|Heat|Oil;Heat|Oil;#6666ff;;
Secondary Energy|Heat|Other;Heat|Other;#b2b233;;
SE|Heat|Other;Heat|Other;#b2b233;;
Secondary Energy|Heat|Solar;Heat|Solar;#ffff00;;
SE|Heat|Solar;Heat|Solar;#ffff00;;
Secondary Energy|Hydrogen|Biomass;Hydrogen|Biomass;#00ffb2;;
SE|Hydrogen|Biomass;Hydrogen|Biomass;#00ffb2;;
Secondary Energy|Hydrogen|Coal;Hydrogen|Coal;#b2b2b2;;
SE|Hydrogen|Coal;Hydrogen|Coal;#b2b2b2;;
Secondary Energy|Hydrogen|Gas;Hydrogen|Gas;#ff6666;;
SE|Hydrogen|Gas;Hydrogen|Gas;#ff6666;;
Secondary Energy|Hydrogen|Other;Hydrogen|Other;#00ccff;;
SE|Hydrogen|Other;Hydrogen|Other;#00ccff;;
Secondary Energy|Liquids|Biomass;Liquids|Biomass;#00ff00;;
SE|Liquids|Biomass;Liquids|Biomass;#00ff00;;
Secondary Energy|Liquids|Coal;Liquids|Coal;#191919;;
SE|Liquids|Coal;Liquids|Coal;#191919;;
Secondary Energy|Liquids|Gas;Liquids|Gas;#b266b2;;
SE|Liquids|Gas;Liquids|Gas;#b266b2;;
Secondary Energy|Liquids|Oil;Liquids|Oil;#0000cc;;
SE|Liquids|Oil;Liquids|Oil;#0000cc;;
Secondary Energy|Liquids|Other;Liquids|Other;#cccc00;;
SE|Liquids|Other;Liquids|Other;#cccc00;;
Secondary Energy|Solids|Biomass;Solids|Biomass;#00b219;;
SE|Solids|Biomass;Solids|Biomass;#00b219;;
Trade|Biomass|Value;Biomass;#ffcc00;;
Trade|Emissions Allowances|Value;Permits;#ff33ff;;
Trade|Emissions Allowances|Volume;Permit-Trade;#0c0c0c;;
Trade|Goods;Goods;#e5e5b2;;
Trade|Primary Energy|Coal|Value;Coal;#999959;;
Trade|Primary Energy|Gas|Value;Gas;#191999;;
Trade|Primary Energy|Oil|Value;Oil;#337fff;;
Trade|Uranium|Value;Uranium;#33ff00;;
CAZ;Canada;#f58231;;
CHA;mainly China;#3cb44b;;
MEA;Middle East/North Africa;#4363d8;;
LAM;Latin America;#96cfc8;;
SSA;Sub Saharan Africa;#911eb4;;
JPN;Japan;#ff9999;;
USA;USA;#e6194B;;
OAS;other Asia;#800000;;
IND;India;#808000;;
FRA;France;#000075;;
DEU;Germany;#f032e6;;
REF;Reforming Economies;#9A6324;;
World;World;#404040;;
NEU;non-EU Europe;#42d4f4;;
EUR;Europe;#ffd610;;
ESW;;#B0B0B0;;
ECS;;#dcbeff;;
ECE;;#aaffc3;;
EU27;Europe 27;#fabed4;;
ENC;;#0c6e26;;
ESC;;#981285;;
EWN;;#D1BCA8;;
UKI;United Kingdom;#c46102;;
AFR;Africa;#00BAFF;;
CPA;Centrally planned Asia;#F24200;;
FSU;States of the former Sovjet Union;#D900BC;;
NAM;North America;#8C5400;;
PAO;Pacific OECD;#007362;;
PAS;Pacific Asia;#730002;;
SAS;South Asia;#175900;;
GLO;World;#261E00;;
ROW;Rest of World;#007362;;
CHN;China;#F24200;;
RUS;Russia;#D900BC;;
glob;World;#261E00;;
Land Cover|Cropland;Cropland;#8B4513;;
Land Cover|Cropland|Energy Crops;Cropland|Energy;#838B83;;
Land Cover|Cropland|Non-Energy Crops;Cropland|Non-Energy;#8B4513;;
Land Cover|Forest;Forest;#66A61E;;
Land Cover|Forest|Managed;Forest|Managed;#006400;;
Land Cover|Forest|Unmanaged;Forest|Unmanaged;#66A61E;;
Land Cover|Other Arable Land;Other;#CD3333;;
Land Cover|Other Land;Other;#CD3333;;
Land Cover|Other Land|Urban;Urban;#000000;;
