FE|Transport|Pass|ESD|+|Hydrogen (EJ/yr)
FE|Transport|Pass|Train|Electricity (EJ/yr)
FE|Transport|Pass|Road|LDV (EJ/yr)
FE|Transport|Pass|Road|LDV|Hydrogen (EJ/yr)
FE|Transport|Pass|Road|LDV|Liquids (EJ/yr)
FE|Transport|Pass|Road|LDV|Electricity (EJ/yr)
FE|Transport|Pass (EJ/yr)
FE|Transport|ESD|Pass (EJ/yr)
FE|Transport|other|Pass (EJ/yr)
FE|Transport|Freight (EJ/yr)
FE|Transport|Freight|++|ESD (EJ/yr)
FE|Transport|Freight|++|other (EJ/yr)
FE|Transport|Pass|w/o Bunkers|+|Liquids (EJ/yr)
FE|Transport|Pass|w/o Bunkers|Liquids|+|Biomass (EJ/yr)
FE|Transport|Pass|w/o Bunkers|Liquids|+|Fossil (EJ/yr)
FE|Transport|Pass|w/o Bunkers|+|Gases (EJ/yr)
FE|Transport|Pass|w/o Bunkers|Gases|+|Biomass (EJ/yr)
FE|Transport|Pass|w/o Bunkers|Gases|+|Fossil (EJ/yr)
FE|Transport|Pass|w/o Bunkers|+|Electricity (EJ/yr)
FE|Transport|Pass|w/o Bunkers|+|Hydrogen (EJ/yr)
FE|Transport|Freight|w/o Bunkers|+|Liquids (EJ/yr)
FE|Transport|Freight|w/o Bunkers|Liquids|+|Biomass (EJ/yr)
FE|Transport|Freight|w/o Bunkers|Liquids|+|Fossil (EJ/yr)
FE|Transport|Freight|Bunkers|+|Liquids (EJ/yr)
FE|Transport|Freight|Bunkers|Liquids|+|Biomass (EJ/yr)
FE|Transport|Freight|Bunkers|Liquids|+|Fossil (EJ/yr)
FE|CDR|DAC|+|Hydrogen (EJ/yr)
FE|CDR|DAC|+|Gases (EJ/yr)
FE|CDR|EW|+|Diesel (EJ/yr)
FE|CDR|EW|+|Electricity (EJ/yr)
FE|CDR|DAC|+|Electricity (EJ/yr)
FE|CDR|+|DAC (EJ/yr)
FE|CDR|+|EW (EJ/yr)
FE|Gross with CDR (EJ/yr)
FE|Net without CDR (EJ/yr)
FE|Buildings|Fuels (EJ/yr)
FE|Industry|Fuels (EJ/yr)
FE|Transport|Fuels (EJ/yr)
FE|Fuels (EJ/yr)
FE|Buildings and Industry|Liquids (EJ/yr)
FE|Buildings and Industry|Solids (EJ/yr)
FE|Buildings and Industry|Gases (EJ/yr)
FE|Buildings and Industry|Electricity (EJ/yr)
FE|Buildings and Industry|Heat (EJ/yr)
FE|Buildings and Industry|Hydrogen (EJ/yr)
FE|Buildings|Solids|Biomass|Traditional (EJ/yr)
FE|Industry|Solids|Biomass|Traditional (EJ/yr)
FE|Buildings|Solids|Biomass|Modern (EJ/yr)
FE|Buildings|Solids|Coal (EJ/yr)
FE|Industry|Solids|Biomass|Modern (EJ/yr)
FE|Industry|Solids|Coal (EJ/yr)
FE|Buildings|Electricity|Share (%)
FE|Industry|Electricity|Share (%)
FE|Transport|Electricity|Share (%)
FE|Buildings|Fuels|Share (%)
FE|Industry|Fuels|Share (%)
FE|Transport|Fuels|Share (%)
FE|Fuels|Share (%)
Average price for transport energy|FE (US$2005/GJ)
Average price for liquid transport energy|FE (US$2005/GJ)
FE|Transport|Fossil Carbon Intensity of fuels (kg CO2/GJ)
FE|Buildings|Fossil Carbon Intensity of fuels (kg CO2/GJ)
FE|Industry|Fossil Carbon Intensity of fuels (kg CO2/GJ)
FE|Fossil Carbon Intensity of fuels (kg CO2/GJ)
